,0
0,"['citrus fruit', 'semi-finished bread', 'margarine', 'ready soups']"
1,"['tropical fruit', 'yogurt', 'coffee']"
2,['whole milk']
3,"['pip fruit', 'yogurt', 'cream cheese ', 'meat spreads']"
4,"['other vegetables', 'whole milk', 'condensed milk', 'long life bakery product']"
5,"['whole milk', 'butter', 'yogurt', 'rice', 'abrasive cleaner']"
6,['rolls/buns']
7,"['other vegetables', 'UHT-milk', 'rolls/buns', 'bottled beer', 'liquor (appetizer)']"
8,['pot plants']
9,"['whole milk', 'cereals']"
10,"['tropical fruit', 'other vegetables', 'white bread', 'bottled water', 'chocolate']"
11,"['citrus fruit', 'tropical fruit', 'whole milk', 'butter', 'curd', 'yogurt', 'flour', 'bottled water', 'dishes']"
12,['beef']
13,"['frankfurter', 'rolls/buns', 'soda']"
14,"['chicken', 'tropical fruit']"
15,"['butter', 'sugar', 'fruit/vegetable juice', 'newspapers']"
16,['fruit/vegetable juice']
17,['packaged fruit/vegetables']
18,['chocolate']
19,['specialty bar']
20,['other vegetables']
21,"['butter milk', 'pastry']"
22,['whole milk']
23,"['tropical fruit', 'cream cheese ', 'processed cheese', 'detergent', 'newspapers']"
24,"['tropical fruit', 'root vegetables', 'other vegetables', 'frozen dessert', 'rolls/buns', 'flour', 'sweet spreads', 'salty snack', 'waffles', 'candy', 'bathroom cleaner']"
25,"['bottled water', 'canned beer']"
26,['yogurt']
27,"['sausage', 'rolls/buns', 'soda', 'chocolate']"
28,['other vegetables']
29,"['brown bread', 'soda', 'fruit/vegetable juice', 'canned beer', 'newspapers', 'shopping bags']"
30,"['yogurt', 'beverages', 'bottled water', 'specialty bar']"
31,"['hamburger meat', 'other vegetables', 'rolls/buns', 'spices', 'bottled water', 'hygiene articles', 'napkins']"
32,"['root vegetables', 'other vegetables', 'whole milk', 'beverages', 'sugar']"
33,"['pork', 'berries', 'other vegetables', 'whole milk', 'whipped/sour cream', 'artif. sweetener', 'soda', 'abrasive cleaner']"
34,"['beef', 'grapes', 'detergent']"
35,"['pastry', 'soda']"
36,['fruit/vegetable juice']
37,['canned beer']
38,"['root vegetables', 'other vegetables', 'whole milk', 'dessert']"
39,"['citrus fruit', 'zwieback', 'newspapers']"
